Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource
2015-02-17,127.489998,128.880005,126.919998,127.830002,63152400,122.905254,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-18,127.629997,128.779999,127.449997,128.720001,44891700,123.760965,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-19,128.479996,129.029999,128.330002,128.449997,37362400,123.501363,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-20,128.619995,129.5,128.050003,129.5,48948400,124.510914,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-23,130.020004,133.0,129.660004,133.0,70974100,127.876074,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-24,132.940002,133.600006,131.169998,132.169998,69228100,127.078049,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-25,131.559998,131.600006,128.149994,128.789993,74711700,123.828261,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-26,128.789993,130.869995,126.610001,130.419998,91287500,125.395469,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-02-27,130.0,130.570007,128.240005,128.460007,62014800,123.510987,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-02,129.25,130.279999,128.300003,129.089996,48096700,124.116706,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-03,128.960007,129.520004,128.089996,129.360001,37816300,124.376308,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-04,129.100006,129.559998,128.320007,128.539993,31666300,123.587892,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-05,128.580002,128.75,125.760002,126.410004,56517100,121.539962,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-06,128.399994,129.369995,126.260002,126.599998,72842100,121.722637,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-09,127.959999,129.570007,125.059998,127.139999,88528500,122.241834,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-10,126.410004,127.220001,123.800003,124.510002,68856600,119.71316,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-11,124.75,124.769997,122.110001,122.239998,68939000,117.530609,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-12,122.309998,124.900002,121.629997,124.449997,48362700,119.655466,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-13,124.400002,125.400002,122.580002,123.589996,51827300,118.828598,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-16,123.879997,124.949997,122.870003,124.949997,35874300,120.136203,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-17,125.900002,127.32,125.650002,127.040001,51023100,122.145688,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-18,127.0,129.160004,126.370003,128.470001,65270900,123.520597,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-19,128.75,129.25,127.400002,127.5,45809500,122.587966,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-20,128.25,128.399994,125.160004,125.900002,68695100,121.049608,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-23,127.120003,127.849998,126.519997,127.209999,37709700,122.309137,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-24,127.230003,128.039993,126.559998,126.690002,32842300,121.809174,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-25,126.540001,126.82,123.379997,123.379997,51655200,118.626689,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-26,122.760002,124.879997,122.599998,124.239998,47572900,119.453558,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-27,124.57,124.699997,122.910004,123.25,39546200,118.5017,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-30,124.050003,126.400002,124.0,126.370003,47099700,121.501502,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-03-31,126.089996,126.489998,124.360001,124.43,42090600,119.63624,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-01,124.82,125.120003,123.099998,124.25,40621400,119.463174,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-02,125.029999,125.559998,124.190002,125.32,32220100,120.491951,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-06,124.470001,127.510002,124.330002,127.349998,37194000,122.443743,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-07,127.639999,128.119995,125.980003,126.010002,35012300,121.155371,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-08,125.849998,126.400002,124.970001,125.599998,37329200,120.761163,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
2015-04-09,125.849998,126.580002,124.660004,126.559998,32484000,121.684177,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv
